Date,Platform,Campaign_Name,Impressions,Clicks,CTR (%),Likes,Comments,Shares,Cost ($),Revenue ($),Engagement Rate (%),ROI (%)
2024-01-01,Facebook,Summer Sale,16795,910,5.418279249776719,280,42,7,1217.3840441842215,1296.7960612462707,1.9589163441500448,6.523168875214219
2024-01-01,Facebook,New Arrivals,17850,1288,7.215686274509804,340,23,2,90.13976387681477,220.73846769610526,2.044817927170868,144.88467486753908
2024-01-01,Facebook,Holiday Promo,3433,241,7.020099038741626,197,20,0,643.2723737710986,1088.4721352440042,6.3210020390329165,69.20859337748041
2024-01-01,Facebook,Back to School,9666,108,1.1173184357541899,51,2,3,1052.7571549065426,1902.442473193897,0.5793503000206911,80.71047670654723
2024-01-01,Facebook,Black Friday,12394,696,5.615620461513636,30,0,2,75.86667426173973,182.2122526779412,0.25818944650637404,140.17429846642497
2024-01-01,Facebook,Spring Collection,11253,291,2.5859770727805915,274,25,20,500.2429599631905,605.1655653078636,2.834799608993157,20.974329224422
2024-01-01,Instagram,Summer Sale,16787,558,3.3240007148388635,44,0,3,405.3603711867215,844.8173857824087,0.2799785548340978,108.41143975400094
2024-01-01,Instagram,New Arrivals,2021,183,9.054923305294409,63,9,3,410.4661882747777,1004.9418514459961,3.7110341415141015,144.829386719975
2024-01-01,Instagram,Holiday Promo,7873,605,7.68449129937762,171,9,3,1215.904958681616,2878.273438142523,2.3243998475803376,136.71861995392987
2024-01-01,Instagram,Back to School,8629,776,8.992930814694635,261,39,20,807.92071489449,1019.0250282679712,3.7084250782245913,26.129335401562304
2024-01-01,Instagram,Black Friday,10268,841,8.190494740942734,226,44,8,627.7333361229606,678.5507328134112,2.707440592130892,8.095379640710435
2024-01-01,Instagram,Spring Collection,17216,570,3.3108736059479553,353,0,7,60.768128391024675,132.85641284268172,2.0910780669144984,118.62844283732184
2024-01-02,Facebook,Summer Sale,7736,441,5.700620475698035,172,34,0,1231.6219508229722,2924.7468022325725,2.6628748707342296,137.47114934726935
2024-01-02,Facebook,New Arrivals,7184,77,1.071826280623608,16,0,1,926.4288145694966,891.4072095564512,0.23663697104677062,-3.7802801966300668
2024-01-02,Facebook,Holiday Promo,3454,111,3.213665315576143,97,4,2,1203.030686030068,1524.2724188740747,2.9820497973364217,26.702704808310912
2024-01-02,Facebook,Back to School,10762,1010,9.38487270024159,748,100,46,1440.8273350848403,3016.1336881587,8.307006132689091,109.33345826487258
2024-01-02,Facebook,Black Friday,1502,63,4.194407456724368,48,8,1,99.56729715098561,97.91601593231506,3.7949400798934754,-1.6584574111382329
2024-01-02,Facebook,Spring Collection,16934,913,5.391520018896894,752,51,3,1819.7546241558814,2227.0098668163528,4.759655131687729,22.379678955308734
2024-01-02,Instagram,Summer Sale,2678,220,8.215085884988797,38,3,0,200.11082416614633,258.65874281096825,1.530993278566094,29.257746995340568
2024-01-02,Instagram,New Arrivals,11817,731,6.186003215706186,566,61,56,255.7138066690277,403.0327732553528,5.779808750105779,57.61087698209475
2024-01-02,Instagram,Holiday Promo,14931,1413,9.463532248342375,1364,127,91,744.7807842501011,1743.984903787145,10.595405532114393,134.16083506277818
2024-01-02,Instagram,Back to School,2306,170,7.372072853425846,125,12,8,644.3234534081566,695.8145301921004,6.287944492627926,7.9914950343001
2024-01-02,Instagram,Black Friday,6530,367,5.6202143950995405,174,32,9,708.3495842370745,1702.126151846871,3.2924961715160794,140.29464966512828
2024-01-02,Instagram,Spring Collection,18879,1306,6.917739287038509,1146,61,112,545.1350571719722,664.8954000084286,6.986598866465385,21.968930682562203
2024-01-03,Facebook,Summer Sale,12649,1186,9.376235275515851,961,80,58,1238.650451260799,2049.4144792436427,8.688433868289984,65.45543394890643
2024-01-03,Facebook,New Arrivals,14877,904,6.0764939167842975,745,128,18,1377.3756305317952,2345.104310420317,5.9891107078039925,70.2588791639132
2024-01-03,Facebook,Holiday Promo,6791,465,6.847297894271831,256,3,22,1535.1582498909993,1848.3057013572045,4.137829480194375,20.398382478707948
2024-01-03,Facebook,Back to School,5389,329,6.105028762293561,107,5,5,1094.760633945779,1043.8461731927139,2.1710892558916313,-4.65073909075058
2024-01-03,Facebook,Black Friday,10339,236,2.2826192088209694,79,15,4,1723.7996693867537,2334.2490856445543,0.9478672985781991,35.413013884320414
2024-01-03,Facebook,Spring Collection,15243,452,2.9652955454962933,355,66,18,729.8986752188723,703.2574734639699,2.8800104966214,-3.6499863144584617
2024-01-03,Instagram,Summer Sale,9680,689,7.117768595041323,560,81,39,318.16584108468686,439.00929902865346,7.024793388429752,37.98127967854394
2024-01-03,Instagram,New Arrivals,7616,200,2.6260504201680672,168,29,9,552.9861740445534,1062.8244285653475,2.7048319327731094,92.19728782581046
2024-01-03,Instagram,Holiday Promo,10208,621,6.08346394984326,11,0,1,1932.5677350131475,3380.25204369775,0.11755485893416928,74.90988711320661
2024-01-03,Instagram,Back to School,8158,58,0.7109585682765384,50,2,2,1465.6135737969669,3407.6797151419114,0.6619269428781563,132.50874419193806
2024-01-03,Instagram,Black Friday,7295,103,1.4119259766963674,42,7,3,214.0729317403452,230.07891094769138,0.712816997943797,7.476881396084327
2024-01-03,Instagram,Spring Collection,10637,153,1.4383754818087806,93,2,8,1343.8284497607087,1086.6259904433434,0.9683181348124471,-19.139530746142825
2024-01-04,Facebook,Summer Sale,15207,927,6.0958768987966065,347,65,34,1321.3244560300711,1560.8248544803205,2.9328598671664365,18.125782608295165
2024-01-04,Facebook,New Arrivals,6699,447,6.672637707120465,286,47,19,764.6141299365769,1578.996908868541,5.254515599343185,106.50898891961562
2024-01-04,Facebook,Holiday Promo,2218,194,8.746618575293057,137,0,11,1042.187449835582,1961.152336478873,6.672678088367899,88.17654509160221
2024-01-04,Facebook,Back to School,18429,799,4.335558087796408,679,37,50,1789.490782595371,3351.6011074717126,4.156492484670899,87.29356641953471
2024-01-04,Facebook,Black Friday,17609,1350,7.6665341586688625,807,96,27,1354.4019163430444,3073.252883571745,5.281390198194106,126.90848606222349
2024-01-04,Facebook,Spring Collection,8996,865,9.615384615384617,668,3,34,1548.6803278973025,1353.7423783328086,7.836816362827924,-12.587358801746259
2024-01-04,Instagram,Summer Sale,19589,526,2.685180458420542,55,4,5,771.8094654981165,637.7278293991359,0.32671397212721426,-17.372375190092544
